dteday,hum,weathersit,holiday,season,atemp,temp,hr,casual,registered,cnt
2011-12-09,0.62,1,0,4,0.3485,0.36,16,24,226,250
2012-06-17,0.64,1,0,2,0.5152,0.54,4,2,16,18
2011-06-15,0.53,1,0,2,0.6212,0.62,23,17,90,107
2012-03-31,0.87,2,0,2,0.3485,0.36,8,19,126,145
2012-07-31,0.55,1,0,3,0.697,0.76,18,99,758,857
2012-10-01,0.72,1,0,4,0.4545,0.46,0,6,39,45
2012-08-28,0.54,1,0,3,0.6515,0.7,22,20,196,216
2012-01-01,0.93,1,0,1,0.2727,0.26,9,13,27,40
2011-10-13,1.0,2,0,4,0.5152,0.54,4,2,5,7
2012-06-09,0.24,1,0,2,0.697,0.82,16,219,315,534
2011-06-28,0.78,1,0,3,0.6061,0.66,5,1,20,21
2011-12-21,1.0,2,0,1,0.4394,0.44,18,2,278,280
2012-01-31,0.6,1,0,1,0.2576,0.26,7,6,273,279
2012-02-07,0.38,1,0,1,0.4394,0.44,14,11,127,138
2012-05-15,0.78,1,0,2,0.5455,0.58,22,9,74,83
2011-01-04,0.52,1,0,1,0.2727,0.28,15,17,48,65
2012-02-27,0.8,1,0,1,0.2273,0.22,5,0,16,16
2012-08-21,0.37,1,0,3,0.6667,0.76,14,110,192,302
2011-02-13,0.3,2,0,1,0.4091,0.4,14,51,110,161
2012-07-09,0.83,3,0,3,0.6061,0.66,7,7,223,230
2012-12-18,0.94,1,0,4,0.3939,0.38,8,10,652,662
2011-06-07,0.61,2,0,2,0.6364,0.68,8,45,432,477
2012-09-26,0.73,1,0,4,0.5303,0.56,8,30,808,838
2012-08-20,0.54,1,0,3,0.6667,0.72,14,87,188,275
2011-02-17,0.55,1,0,1,0.5,0.52,21,5,119,124
2011-02-13,0.35,1,0,1,0.4091,0.4,20,15,32,47
2012-05-08,0.64,2,0,2,0.6061,0.6,11,60,157,217
2012-06-26,0.41,1,0,3,0.6212,0.62,23,13,118,131
2011-09-02,0.74,2,0,3,0.6212,0.66,11,51,141,192
2011-03-29,0.49,1,0,2,0.3636,0.34,22,6,49,55
2012-06-16,0.53,1,0,2,0.6212,0.6,23,49,134,183
2011-09-17,0.72,1,0,3,0.4545,0.46,3,7,21,28
2011-07-10,0.41,1,0,3,0.7424,0.82,14,122,227,349
2011-02-02,0.93,1,0,1,0.3333,0.34,13,1,74,75
2012-09-23,0.33,1,0,4,0.6212,0.6,16,254,437,691
2011-02-25,0.41,1,0,1,0.4545,0.46,15,5,50,55
2011-03-12,0.44,1,0,1,0.4242,0.42,15,81,101,182
2011-05-09,0.77,1,0,2,0.4242,0.42,5,0,23,23
2012-08-26,0.89,2,0,3,0.5758,0.64,19,80,212,292
2011-03-31,0.93,3,0,2,0.2273,0.24,3,0,1,1
2012-03-22,1.0,2,0,2,0.4697,0.48,5,2,32,34
2012-08-24,0.83,2,0,3,0.5758,0.62,6,9,142,151
2012-05-31,0.73,1,0,2,0.5909,0.6,6,7,171,178
2012-09-08,0.55,1,0,3,0.7576,0.8,12,220,474,694
2011-06-25,0.61,1,0,3,0.6061,0.62,5,6,8,14
2011-10-09,0.88,1,0,4,0.4545,0.46,0,46,83,129
2011-05-05,0.24,1,0,2,0.5455,0.58,16,36,233,269
2012-05-14,0.88,3,0,2,0.5152,0.54,8,1,155,156
2012-07-22,0.66,1,0,3,0.6818,0.72,15,254,370,624
2011-04-02,0.61,1,0,2,0.303,0.32,22,14,41,55
2012-02-04,0.7,1,0,1,0.2727,0.26,1,0,43,43
2012-10-22,0.71,1,0,4,0.3939,0.38,2,1,4,5
2012-02-23,0.87,1,0,1,0.3485,0.36,6,3,88,91
2012-03-08,0.6,2,0,1,0.5152,0.54,11,48,156,204
2011-07-23,0.52,1,0,3,0.7727,0.82,2,13,48,61
2012-07-22,0.88,2,0,3,0.5455,0.6,1,31,99,130
2012-01-17,0.63,1,0,1,0.4545,0.46,20,11,169,180
2012-06-22,0.55,2,0,3,0.697,0.76,20,31,171,202
2012-10-06,0.57,2,0,4,0.6212,0.64,13,310,400,710
2012-10-15,0.72,2,0,4,0.5,0.52,20,19,237,256
2011-04-07,0.54,1,0,2,0.4242,0.42,2,0,7,7
2012-01-03,0.43,1,0,1,0.1212,0.16,14,7,72,79
2011-07-18,0.66,1,0,3,0.697,0.74,23,32,59,91
2011-10-19,0.88,3,0,4,0.5,0.52,10,14,109,123
2012-06-22,0.39,1,0,3,0.803,0.88,13,72,228,300
2011-12-26,0.45,1,1,1,0.3182,0.32,7,2,17,19
2011-08-10,0.48,1,0,3,0.6818,0.76,9,32,148,180
2011-11-07,0.87,1,0,4,0.3636,0.34,1,2,6,8
2012-12-17,0.87,2,0,4,0.3939,0.38,0,2,26,28
2012-03-02,0.5,2,0,1,0.4242,0.42,15,5,73,78
2011-02-26,0.45,1,0,1,0.3333,0.3,11,26,100,126
2011-08-22,0.34,1,0,3,0.6212,0.66,20,21,247,268
2011-03-02,0.19,1,0,1,0.5152,0.54,15,19,91,110
2012-01-28,0.57,1,0,1,0.3182,0.34,13,80,293,373
2011-10-16,0.54,1,0,4,0.4242,0.42,5,1,6,7
2012-07-31,0.83,2,0,3,0.6061,0.66,23,20,127,147
2011-12-02,0.53,1,0,4,0.3182,0.32,22,7,95,102
2012-02-18,0.36,1,0,1,0.4697,0.48,17,142,222,364
2012-07-22,0.66,1,0,3,0.697,0.74,16,245,383,628
2012-11-16,0.65,2,0,4,0.3182,0.3,1,5,16,21
2011-11-06,0.81,1,0,4,0.3636,0.36,20,16,100,116
2012-05-18,0.77,1,0,2,0.4394,0.44,6,14,168,182
2011-04-22,0.87,3,0,2,0.303,0.32,20,8,39,47
2011-01-30,0.93,1,0,1,0.2121,0.14,3,1,7,8
2011-08-06,0.79,3,0,3,0.697,0.72,20,58,79,137
2011-07-30,0.27,1,0,3,0.7879,0.9,16,126,176,302
2011-01-28,0.8,2,0,1,0.197,0.18,6,0,16,16
2011-02-18,0.29,1,0,1,0.6212,0.62,19,16,146,162
2011-04-15,0.67,2,1,2,0.4545,0.46,18,47,216,263
2011-11-30,0.49,1,0,4,0.303,0.34,18,7,369,376
2012-01-26,0.75,2,0,1,0.3182,0.28,1,5,16,21
2012-06-04,0.41,1,0,2,0.6212,0.64,12,62,220,282
2011-11-24,0.57,1,1,4,0.303,0.32,0,1,22,23
2012-11-27,0.73,1,0,4,0.2576,0.26,19,12,338,350
2011-01-22,0.49,1,0,1,0.1515,0.06,22,7,23,30
2012-04-02,0.94,3,0,2,0.4394,0.44,2,2,3,5
2012-07-15,0.89,2,0,3,0.6364,0.68,4,8,11,19
2011-03-23,0.76,2,0,2,0.4091,0.4,16,13,123,136
2011-12-31,0.39,1,0,1,0.5,0.52,12,93,180,273
2011-03-09,0.52,1,0,1,0.2727,0.26,2,1,1,2
2012-01-11,0.8,1,0,1,0.2121,0.2,7,9,247,256
2011-02-24,0.93,3,0,1,0.303,0.34,19,3,112,115
2011-01-29,0.74,1,0,1,0.2121,0.18,20,1,42,43
2012-01-08,0.49,1,0,1,0.3333,0.34,10,27,181,208
2012-04-05,0.31,1,0,2,0.4848,0.5,18,80,618,698
2012-05-18,0.4,1,0,2,0.6212,0.6,21,49,209,258
2012-08-07,0.7,2,0,3,0.697,0.74,20,74,374,448
2012-04-23,0.7,2,0,2,0.303,0.32,10,12,88,100
2012-03-28,0.6,1,0,2,0.5455,0.58,21,28,233,261
2012-05-03,0.61,1,0,2,0.6515,0.7,19,55,467,522
2011-06-15,0.28,1,0,2,0.6515,0.74,14,50,128,178
2011-05-30,0.39,1,1,2,0.803,0.88,15,132,179,311
